NUMERO,NOM,TYPE_1,TYPE_2,POINTS_DE_VIE,NIVEAU_ATTAQUE,NIVEAU_DEFENSE,NIVEAU_ATTAQUE_SPECIALE,NIVEAU_DEFENSE_SPECIALE,VITESSE,GENERATION,LEGENDAIRE
456,Finneon,Water,,49,49,56,49,61,66,4,0
457,Lumineon,Water,,69,69,76,69,86,91,4,0
458,Mantyke,Water,Flying,45,20,50,60,120,50,4,0
459,Snover,Grass,Ice,60,62,50,62,60,40,4,0
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,4,0
461,Weavile,Dark,Ice,70,120,65,45,85,125,4,0
462,Magnezone,Electric,Steel,70,70,115,130,90,60,4,0
463,Lickilicky,Normal,,110,85,95,80,95,50,4,0
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,4,0
465,Tangrowth,Grass,,100,100,125,110,50,50,4,0
466,Electivire,Electric,,75,123,67,95,85,95,4,0
467,Magmortar,Fire,,75,95,67,125,95,83,4,0
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,4,0
469,Yanmega,Bug,Flying,86,76,86,116,56,95,4,0
470,Leafeon,Grass,,65,110,130,60,65,95,4,0
471,Glaceon,Ice,,65,60,110,130,95,65,4,0
472,Gliscor,Ground,Flying,75,95,125,45,75,95,4,0
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,4,0
474,Porygon-Z,Normal,,85,80,70,135,75,90,4,0
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,4,0
476,Probopass,Rock,Steel,60,55,145,75,150,40,4,0
477,Dusknoir,Ghost,,45,100,135,65,135,45,4,0
478,Froslass,Ice,Ghost,70,80,70,80,70,110,4,0
479,Rotom,Electric,Ghost,50,50,77,95,77,91,4,0
480,Uxie,Psychic,,75,75,130,75,130,95,4,1
481,Mesprit,Psychic,,80,105,105,105,105,80,4,1
482,Azelf,Psychic,,75,125,70,125,70,115,4,1
483,Dialga,Steel,Dragon,100,120,120,150,100,90,4,1
484,Palkia,Water,Dragon,90,120,100,150,120,100,4,1
485,Heatran,Fire,Steel,91,90,106,130,106,77,4,1
486,Regigigas,Normal,,110,160,110,80,110,100,4,1
487,Giratina Altered Forme,Ghost,Dragon,150,100,120,100,120,90,4,1
488,Cresselia,Psychic,,120,70,120,75,130,85,4,0
489,Phione,Water,,80,80,80,80,80,80,4,0
490,Manaphy,Water,,100,100,100,100,100,100,4,0
491,Darkrai,Dark,,70,90,90,135,90,125,4,1
492,Shaymin Land Forme,Grass,,100,100,100,100,100,100,4,1
493,Arceus,Normal,,120,120,120,120,120,120,4,1
